RF,Time,Latitude,Longitude,Altitude
20,18:12:45,22.902662,120.2731818,25.937
20,18:12:48,22.9026659,120.2731839,29.675
20,18:12:51,22.9027266,120.2731739,30.317
20,18:12:54,22.9028398,120.273146,30.056
20,18:12:57,22.9029519,120.2731214,30.143
21,18:15:04,22.902729,120.2730695,20.028
21,18:15:07,22.9026807,120.273045,20.007
21,18:15:10,22.9026332,120.2730219,19.95
21,18:15:13,22.902583,120.2729972,20.042
21,18:15:16,22.9025387,120.272973,20.056
21,18:15:19,22.9025469,120.272944,20.028
21,18:15:22,22.9025755,120.2728914,20.26
21,18:15:25,22.9026096,120.2728318,19.846
21,18:15:28,22.9026362,120.2727818,19.896
21,18:15:31,22.9026671,120.2727321,19.795
21,18:15:34,22.9026778,120.2727022,19.956
21,18:15:37,22.9026241,120.2727044,19.949
21,18:15:40,22.9025773,120.2727118,19.946
21,18:15:43,22.902528,120.2727165,20.116
21,18:15:46,22.902473,120.2727201,20.094
21,18:15:49,22.9024228,120.2727255,20.005
21,18:15:52,22.9023713,120.272734,19.992
21,18:15:55,22.9023671,120.272788,19.953
21,18:15:58,22.9023738,120.2728434,19.995
21,18:16:01,22.9023748,120.2729018,20.056
21,18:16:04,22.9023755,120.2729619,20.097
21,18:16:07,22.9023792,120.2730199,20.06
21,18:16:10,22.9023811,120.273081,20.044
21,18:16:13,22.9023837,120.2731379,20.063
21,18:16:16,22.9023859,120.2731976,20.162
21,18:16:19,22.9023886,120.2732075,24.492
21,18:16:22,22.9023866,120.2732087,29.498
21,18:16:25,22.9024375,120.2732028,30.131
21,18:16:28,22.9025369,120.2731869,30.112
21,18:16:31,22.9026622,120.2731604,30.034
21,18:16:34,22.9027879,120.2731366,30.102
22,18:22:19,22.9030177,120.2731195,-0.007
22,18:22:22,22.9030179,120.2731224,0.026
22,18:22:25,22.9029827,120.2731213,2.328
22,18:22:28,22.9028826,120.2731331,7.811
22,18:22:31,22.9027625,120.2731567,13.677
22,18:22:34,22.9026564,120.2731742,18.753
22,18:22:37,22.9025884,120.2731395,20.201
22,18:22:40,22.9025336,120.2730333,20.445
22,18:22:43,22.902472,120.2729124,20.28
22,18:22:46,22.9024107,120.2727836,19.983
22,18:22:49,22.9023637,120.2726833,19.83
